Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,10 Nov 2024,4,Sita Sapkota,I was Waiting for it 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Nov 2024,5,Sadqua Pervej,Very good kurta..i love this..
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Nov 2024,5,Prachi,Nice kurti with great price . 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,25 Oct 2024,5,Megha Shah,"Fabric is gud..can go for it
"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,30 Sept 2024,5,Seema Dhiman,You can buy without second thought 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,19 Feb 2025,5,Myntra Customer,Excellent 👌👍 thanks Myntra.
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,25 Sept 2024,5,Vaishnavi,Very good product 😍
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,10 Mar 2025,3,Naina,"Good one, nice colour "
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,22 Oct 2024,5,Ritu Keshri,"Beautiful kurta 
"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,9 Nov 2024,4,Anita Chaudhary,Very nice
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,26 Sept 2024,4,Basuri Das,Very nice 💕
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,19 Sept 2024,5,Prajwal Khobragade,Superb 👍👍👍
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,15 Dec 2024,4,Yatri,Beautiful 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,10 Mar 2025,4,Myntra Customer,Good kurti
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,6 Oct 2024,5,Moumita Dutta,Very pretty kurta 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,14 Jan 2025,4,Myntra Customer,Good 👍
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,12 Mar 2025,4,Myntra Customer,Nice kurta 👍🏻
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,28 Sept 2024,4,Bharti,Nice fabric 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,12 Jan 2025,5,Payel Majumder,Nice 👌 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,6 Sept 2024,5,Pratibha,Worth of money 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,27 Oct 2024,5,Myntra Customer,Good quality 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,11 Nov 2024,5,Riya Gorai,Beautiful love it
